Date,AGIX,AMT,BRK-B,CAT,COST,GE,GLD,JNJ,MSFT,MU,NEE,NVDA,PLD,SPY,UNH,V,VTRS,XLP,XOM
2024-10-18,25.87738800048828,212.52963256835938,464.79998779296875,384.2635192871094,881.2835693359375,190.6913299560547,251.27000427246094,157.19583129882812,412.4319763183594,110.57970428466797,80.14527130126953,137.7847137451172,115.49042510986328,572.8224487304688,546.4024658203125,286.83544921875,10.915885925292969,78.46135711669922,113.28874969482422
2024-10-21,25.938425064086914,207.99354553222656,464.1600036621094,382.3346252441406,878.51953125,192.29519653320312,251.22000122070312,155.01576232910156,413.04351806640625,108.52032470703125,79.81283569335938,143.48580932617188,111.03108978271484,571.8818359375,548.1867065429688,283.1146240234375,10.739523887634277,77.80306243896484,113.35482788085938
2024-10-22,25.9000301361084,207.98416137695312,461.45001220703125,380.3567810058594,885.1768188476562,174.9002227783203,253.92999267578125,155.60598754882812,421.6539306640625,107.26678466796875,79.49939727783203,143.36599731445312,112.1341323852539,571.5779418945312,546.6423950195312,281.08135986328125,10.832345962524414,78.24192810058594,113.94009399414062
2024-10-23,25.40384864807129,212.50146484375,460.6099853515625,377.6836853027344,890.8040161132812,179.88009643554688,250.8699951171875,157.90032958984375,418.7837829589844,104.5110092163086,80.6961669921875,139.34226989746094,113.91598510742188,566.355224609375,541.6350708007812,280.0648498535156,10.72096061706543,78.08928680419922,113.53419494628906
2024-10-24,25.75432777404785,212.18212890625,457.7699890136719,378.98590087890625,885.1075439453125,177.94952392578125,252.8000030517578,155.8154296875,418.9120178222656,106.3017578125,78.65406799316406,140.1909637451172,113.50115966796875,567.5801391601562,537.9610595703125,279.5318298339844,10.655984878540039,77.98433685302734,112.89226531982422
2024-10-25,26.000450134277344,209.2425994873047,454.010009765625,377.9186706542969,882.9279174804688,177.31588745117188,253.32000732421875,153.15933227539062,422.28515625,107.3563232421875,77.34331512451172,141.31918334960938,110.81424713134766,567.3840942382812,541.5582275390625,278.0612487792969,10.618855476379395,77.33556365966797,112.79788208007812
2024-10-28,26.005373001098633,208.69790649414062,458.489990234375,382.4618835449219,882.6703491210938,173.61314392089844,253.3300018310547,153.84478759765625,420.74652099609375,105.8441162109375,78.7110595703125,140.30076599121094,111.06880187988281,569.1381225585938,542.2105102539062,280.48919677734375,10.915885925292969,77.47869110107422,112.24090576171875
2024-10-29,26.305641174316406,199.9544219970703,454.6199951171875,379.4265441894531,878.7373657226562,172.3162078857422,256.0899963378906,152.40724182128906,426.03314208984375,107.62493133544922,75.5671615600586,141.02964782714844,108.71184539794922,570.0591430664062,539.227294921875,278.2093200683594,10.897321701049805,76.71544647216797,110.71163940429688
2024-10-30,26.060504913330078,200.48971557617188,454.9599914550781,371.32904052734375,870.9109497070312,172.9003448486328,257.5,152.9022979736328,426.605224609375,103.54598236083984,75.12075805664062,139.12261962890625,109.23981475830078,568.3345947265625,540.0234985351562,286.3814392089844,11.036556243896484,76.59141540527344,110.1546859741211
2024-10-31,25.390064239501953,200.54608154296875,450.9200134277344,368.35247802734375,866.0465698242188,170.0688018798828,253.50999450683594,152.18829345703125,400.7838134765625,99.13870239257812,75.27272033691406,132.55287170410156,106.47746276855469,557.1935424804688,541.5007934570312,286.07550048828125,10.76737117767334,76.43875885009766,110.23963928222656
